,brand,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
20342,Toyota,Aygo,2017,6995,Manual,16511,Petrol,0,69.0,1.0
20343,Toyota,Aygo,2015,6778,Semi-Auto,42328,Petrol,0,67.0,1.0
20344,Toyota,Aygo,2018,8275,Manual,13546,Petrol,150,56.5,1.0
20345,Toyota,Aygo,2017,7976,Manual,8493,Petrol,0,68.9,1.0
20346,Toyota,Aygo,2018,8306,Manual,12597,Petrol,145,68.9,1.0
20347,Toyota,Aygo,2016,7695,Semi-Auto,41515,Petrol,0,67.0,1.0
20348,Toyota,Aygo,2016,7500,Manual,13908,Petrol,0,69.0,1.0
20349,Toyota,Aygo,2018,6895,Manual,36916,Petrol,145,69.0,1.0
20350,Toyota,Aygo,2018,8550,Manual,13658,Petrol,145,56.5,1.0
20351,Toyota,Aygo,2019,9450,Manual,3083,Petrol,145,57.7,1.0
20352,Toyota,Aygo,2019,9450,Manual,1749,Petrol,145,57.7,1.0
20353,Toyota,Aygo,2019,8995,Manual,1202,Petrol,145,57.7,1.0
20354,Toyota,Aygo,2019,9450,Manual,2963,Petrol,145,57.7,1.0
20355,Toyota,Aygo,2019,9450,Manual,3335,Petrol,145,57.7,1.0
20356,Toyota,Aygo,2018,8412,Manual,18000,Petrol,145,68.9,1.0
20357,Toyota,Aygo,2019,10067,Automatic,9248,Petrol,145,55.4,1.0
20358,Toyota,Aygo,2017,10299,Semi-Auto,8110,Petrol,145,67.3,1.0
20359,Toyota,Aygo,2013,4450,Manual,21916,Petrol,0,65.7,1.0
20360,Toyota,Aygo,2016,6995,Manual,18512,Petrol,0,69.0,1.0
20361,Toyota,Aygo,2015,6249,Manual,18040,Petrol,0,69.0,1.0
20362,Toyota,Aygo,2017,8650,Semi-Auto,5893,Petrol,145,67.0,1.0
20363,Toyota,Aygo,2019,8950,Manual,4321,Petrol,145,56.5,1.0
20364,Toyota,Aygo,2019,9850,Manual,4282,Petrol,145,57.7,1.0
20365,Toyota,Aygo,2018,8495,Manual,11719,Petrol,145,68.9,1.0
20366,Toyota,Aygo,2019,10800,Manual,25,Petrol,145,56.5,1.0
